posicion,dorsal,atleta,categoria,tiempo
Número,Nombre,Modalidad,KM,Tiempo
308,MARIO ALBERTO ALVAREZ BARRERA,5,5,01:33:44
392,JESUS TORRES GOMEZ,5,5,01:31:07
198,ISAAC HERNÁNDEZ OCHOA,5,5,01:28:29
193,JULIO CESAR GUTIERREZ ARIAS,5,5,01:20:32
267,LUCIA MONREAL DELGADO,2,2,01:16:03
150,RAQUEL GONZALEZ SANCHEZ,2,2,01:15:49
17,LUZ ELVIA MAR CÁRDENAS,2,2,01:12:47
332,EDUARDO AGUILERA SOLIS,2,2,01:05:18
248,MARISOL CASTAÑEDA MENDIOLA,2,2,01:06:37
269,SANTA VERONICA VALDEZ RAMIREZ,2,2,01:06:09
349,CARLOS EMILIO GOROSTIETA GONZALEZ,2,2,01:00:20
333,DANTE NOÉ ENRÍQUEZ OSORIO,2,2,00:58:33
172,ELIZABETH RAMÍREZ MIRANDA,2,2,01:00:14
25,JAIME MARTÍNEZ RUIZ,2,2,00:56:17
32,EVANGELINA PINACHO,2,2,00:57:49
20,SANDRA GUTIERREZ GRACIA,2,2,00:57:08
370,ANA CAREN RODRÍGUEZ HERNÁNDEZ,2,2,00:55:45
274,MARTHA MARTÍNEZ FLORES,2,2,00:54:23
271,ADRIAN GUERRA RAMIREZ,2,2,00:52:13
104,MARIO ALBERTO GONZALEZ LOZANO,2,2,00:52:08
335,DANIELLA LEÓN MONDRAGÓN,2,2,00:54:08
323,JORGE JUAN DE DIOS FLORES GARCÍA,2,2,00:51:21
340,JUAN CARLOS LÓPEZ ENRÍQUEZ,1,1,00:46:11
268,GABRIEL SALVADOR DELGADO ROJAS,2,2,00:50:47
334,ABIGAIL AGUIÑAGA FLORES,2,2,00:52:51
380,MARÍA DEL ROCÍO MÉNDEZ BAUTISTA,2,2,00:52:47
149,ALICIA HUERTA RAMIREZ,2,2,00:52:16
290,IK BALAM SALINAS ZELAYA,2,2,00:50:04
265,MARIA ROSIO MEDINA JUÁREZ,2,2,00:51:06
368,MARIO NIGÓ GONZÁLEZ,2,2,00:48:02
365,ALBERTO SÁNCHEZ PANY,2,2,00:46:50
160,MÓNICA IVONNE KURI MUÑOZ,1,1,00:44:38
324,LEILANY ANDREA GARCÍA LOZANO,2,2,00:48:17
155,MA DE LA LUZ PATIÑO OJEDA,1,1,00:43:56
386,ALFREDO BASURTO RODRIGUEZ,1,1,00:40:55
68,ALEJANDRA RODRÍGUEZ VILLALPANDO,1,1,00:43:23
140,ERICK MORENO MARTINEZ,1,1,00:40:18
108,IRMA FABIAN MONTIEL,2,2,00:47:13
264,ARMANDO ALEJANDRO LINARES RECILLAS,2,2,00:44:53
376,YESICA LILIANA ORTEGA GONZÁLEZ,1,1,00:42:20
64,JOSE MAURICIO ORNELAS AVILA,1,1,00:39:40
296,GRACIELA SERVIN ARAUJO,2,2,00:46:10
21,LYDIA PÉREZ MAYA,2,2,00:46:05
224,JUAN GERARDO SANCHEZ REYES,1,1,00:39:03
28,MÁ ESTHER VIDAL RUIZ,2,2,00:45:49
382,IKTAN HASEN MINOR HIDALGO,2,2,00:43:35
347,ADÁN ULISES TORRES TORRES,2,2,00:43:33
322,BRANDON ALONSO FLORES VARGAS,2,2,00:43:31
270,NANCY ALEJANDRA CASTILLO ANDRADE,2,2,00:45:22
367,SALOMÓN GUZMÁN RODRÍGUEZ,2,2,00:43:09
63,CHRISTOPHER ELI GÓMEZ FUENTES,1,1,00:38:16
221,JUAN RAMON OVIEDO CHAVEZ,2,2,00:42:59
65,DANIEL ALEJANDRO MENDOZA FONSECA,2,2,00:42:47
366,ANGELA PAMELA FLORES MORAGA,2,2,00:44:52
16,ERIKA VARGAS,2,2,00:44:50
183,ADOLFO MERINO MEDINA,2,2,00:42:07
138,MARIA LUISA MEDINA GALEANO,2,2,00:44:10
137,ALEJANDRA MEDINA DOMINGUEZ,2,2,00:44:08
343,ROSY YARETZY LARA ORTIZ,1,1,00:39:50
115,MARTIN ROMERO EMBRIZ,2,2,00:41:43
291,GUSTAVO ARRIAGA SÁNCHEZ,2,2,00:41:41
